context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
4096,4,"(8, 1)",128,16,torch.bfloat16,4,True,23.63767676767679,,19.43057510204082,0,0.1978582500941468,61.14062886597939,0.06336706020628086,58.91937999999989,303%,315%
4096,80,"(8, 1)",128,16,torch.bfloat16,1,True,63.75703999999987,219.60152612244892,53.97372101010099,0,1.4162995527051476,39.810375000000036,1.9239197956908687,50.842021505376316,94%,74%
4096,80,"(8, 1)",128,16,torch.bfloat16,2,True,92.09824489795926,301.8431093877551,57.14215999999993,0,1.340375801971382,35.983478260869575,2.1368137677748713,98.31062626262634,172%,63%
4096,80,"(8, 1)",128,16,torch.bfloat16,3,True,137.09964000000002,,78.35901999999987,0,0.9793509432394069,,,130.63119999999995,167%,NaN
4096,80,"(8, 1)",128,16,torch.bfloat16,4,True,171.02842424242417,,82.30727714285709,0,0.9341821820541985,62.75752631578949,1.2346891720700706,648.0754897959184,787%,76%
4096,128,"(8, 1)",128,16,torch.bfloat16,1,True,100.1246097560975,353.35826166666646,79.88520408163264,0,1.531056125914348,66.86384848484845,1.8327863626631162,77.3865050505051,97%,84%
4096,128,"(8, 1)",128,16,torch.bfloat16,2,True,142.55527272727275,485.9808116666662,84.08177061224497,0,1.4574758448337952,70.05857894736842,1.7560160178074429,153.30999999999995,182%,83%
4096,128,"(8, 1)",128,16,torch.bfloat16,3,True,213.8342399999999,,118.22557999999997,0,1.0385702335933111,,,205.21276767676773,174%,NaN
4096,128,"(8, 1)",128,16,torch.bfloat16,4,True,268.75282000000004,,123.57788340425535,0,0.995517833995933,123.1487755102041,1.006730766255485,1034.432082474227,837%,100%
4097,4,"(8, 1)",128,16,torch.bfloat16,1,True,14.5408,23.02924,15.688819999999989,0,0.24368175355422148,37.19585714285715,0.10298269870974198,14.384820000000012,92%,237%
4097,4,"(8, 1)",128,16,torch.bfloat16,2,True,18.398840000000035,27.890612244897902,15.683943434343458,0,0.2442325659633324,35.911526315789445,0.10708068704104523,17.196060606060666,110%,229%
4097,4,"(8, 1)",128,16,torch.bfloat16,3,True,21.19204000000001,,21.374100404040338,0,0.1795621924403843,,,19.9847272727272,93%,NaN
4097,4,"(8, 1)",128,16,torch.bfloat16,4,True,23.568879999999968,,22.40384023912597,0,0.17164159668803858,65.16087500000002,0.059471780159106286,57.563780000000044,257%,291%
4097,80,"(8, 1)",128,16,torch.bfloat16,1,True,66.40139393939396,233.34223252937554,57.38257624570448,0,1.3324878103857267,41.098111111111116,1.864090414782034,53.75176595744685,94%,72%
4097,80,"(8, 1)",128,16,torch.bfloat16,2,True,97.12044210526312,320.0963569892474,59.97136250000014,0,1.277452967453742,37.95669696969698,2.0262199915115584,103.32281632653053,172%,63%
4097,80,"(8, 1)",128,16,torch.bfloat16,3,True,145.87681632653064,,84.07439595959602,0,0.9129962305848311,,,139.6156400000001,166%,NaN
4097,80,"(8, 1)",128,16,torch.bfloat16,4,True,181.69283673469374,,88.45524061855666,0,0.8694636708230474,67.13075257731956,1.1545329328794895,688.8297938144333,779%,76%
4097,128,"(8, 1)",128,16,torch.bfloat16,1,True,103.10965909090905,377.63958,85.08872796128767,0,1.437776029007613,69.7959696969697,1.7562181958754657,81.78336170212762,96%,82%
4097,128,"(8, 1)",128,16,torch.bfloat16,2,True,150.44540816326528,520.8491795918363,89.72489000000004,0,1.3661421260097475,73.49718367346935,1.674265366214478,162.84009999999998,181%,82%
4097,128,"(8, 1)",128,16,torch.bfloat16,3,True,230.30858585858596,,131.28481972789112,0,0.9354879780788591,,,222.1710600000001,169%,NaN
4097,128,"(8, 1)",128,16,torch.bfloat16,4,True,289.3707142857143,,138.77251632605123,0,0.8867302575221337,131.12477319587623,0.9457210901707787,1107.3488080808092,798%,94%
512,4,"(10, 1)",128,16,torch.bfloat16,1,True,14.109575757575708,19.29008444444429,12.20203298969071,0,0.03984175295707034,9.341315789473677,0.05304002357502472,13.874775510204092,114%,77%
512,4,"(10, 1)",128,16,torch.bfloat16,2,True,17.849333333333387,25.218360869565284,15.411260000000052,0,0.0321494549891075,14.146408163265292,0.03634067780701452,16.696989690721594,108%,92%
512,4,"(10, 1)",128,16,torch.bfloat16,3,True,20.68622448979587,,15.09148936170208,0,0.03344778128542897,19.54976767676766,0.027249250297389335,19.819050505050534,131%,130%
512,4,"(10, 1)",128,16,torch.bfloat16,4,True,23.25448421052634,,18.47867474747477,0,0.027820721356546296,23.210489795918377,0.023754042634176475,46.995759999999976,254%,126%
512,80,"(10, 1)",128,16,torch.bfloat16,1,True,19.795666666666648,33.46421632653059,15.985553264604762,0,0.6082371700274081,10.015969696969691,0.9893472617940045,18.684545454545432,117%,63%
512,80,"(10, 1)",128,16,torch.bfloat16,2,True,28.068584269662946,44.48188257575758,20.34358767676759,0,0.48709560729178036,14.83364583333334,0.6931405360002725,26.457835051546343,130%,73%
512,80,"(10, 1)",128,16,torch.bfloat16,3,True,35.62783720930238,,20.458563801278178,0,0.4934626304609443,20.352279999999997,0.5234956601226533,34.67851546391758,170%,99%
512,80,"(10, 1)",128,16,torch.bfloat16,4,True,43.705724137931085,,25.524181212121164,0,0.4028258982455493,24.153346938775503,0.4565354570278984,110.80365306122445,434%,95%
512,128,"(10, 1)",128,16,torch.bfloat16,1,True,26.939538461538458,60.18099154813443,21.129639999999974,0,0.7362554348477763,14.577577319587625,1.0876180014459638,25.038020408163295,118%,69%
512,128,"(10, 1)",128,16,torch.bfloat16,2,True,42.00367741935487,81.178545263158,27.73896,0,0.5715728170866501,26.84526804123711,0.6128037884642297,41.63281249999992,150%,97%
512,128,"(10, 1)",128,16,torch.bfloat16,3,True,58.52240425531911,,28.341116526085607,0,0.5699443322659329,36.50221649484538,0.46701077476128006,55.78670212765947,197%,129%
512,128,"(10, 1)",128,16,torch.bfloat16,4,True,72.28208695652177,,37.87955684210533,0,0.43429446723942916,45.97872916666666,0.38372036751085986,194.33338000000003,513%,121%
4096,4,"(10, 1)",128,16,torch.bfloat16,1,True,14.638839999999961,21.761835472333235,14.48103010101013,0,0.26407033648140876,33.19537113402063,0.11547765806385836,14.476383838383935,100%,229%
4096,4,"(10, 1)",128,16,torch.bfloat16,2,True,18.594860000000057,28.393485531914884,18.52563999999999,0,0.20691990760466633,60.87959793814429,0.06327160985069791,17.257240000000085,93%,329%
4096,4,"(10, 1)",128,16,torch.bfloat16,3,True,21.390747474747485,,18.27366000000007,0,0.210282830197314,88.25804081632657,0.043855229328701825,20.41135353535346,112%,483%
4096,4,"(10, 1)",128,16,torch.bfloat16,4,True,24.08050000000005,,22.41454121212123,0,0.17185050241075553,115.32099999999997,0.0337250203483688,57.94725252525251,259%,514%
4096,80,"(10, 1)",128,16,torch.bfloat16,1,True,66.56555102040811,220.8695802927231,54.47373737373728,0,1.403983158025348,36.49785416666665,2.1005748445442958,53.67983673469393,99%,67%
4096,80,"(10, 1)",128,16,torch.bfloat16,2,True,95.88470000000001,303.85284,76.0141492929293,0,1.0085816266508891,62.4149393939394,1.2343039041654984,101.89744680851082,134%,82%
4096,80,"(10, 1)",128,16,torch.bfloat16,3,True,143.50457142857144,,76.54023265306124,0,1.0040829011537573,90.0550404040404,0.8596024392940633,136.8624200000001,179%,118%
4096,80,"(10, 1)",128,16,torch.bfloat16,4,True,177.68020618556716,,110.0293780068728,0,0.7001675804018473,117.59281632653061,0.6614695001087032,651.450060606061,592%,107%
4096,128,"(10, 1)",128,16,torch.bfloat16,1,True,102.11785185185184,355.31252121212117,81.09439894736838,0,1.5089616214221657,61.83212499999996,1.9838612848540134,80.22159595959607,99%,76%
4096,128,"(10, 1)",128,16,torch.bfloat16,2,True,146.18816279069776,489.31547008547,114.04837999999992,0,1.0755642381571222,122.45188888888892,1.006619060873404,159.66581632653066,140%,107%
4096,128,"(10, 1)",128,16,torch.bfloat16,3,True,224.78275510204097,,115.2011513019001,0,1.067388483378835,177.2921836734694,0.6986120272023943,214.48862500000007,186%,154%
4096,128,"(10, 1)",128,16,torch.bfloat16,4,True,280.41985858585866,,171.09833366633364,0,0.7204185029404624,232.40855789473682,0.5354987760277912,1043.632686868687,610%,136%
4097,4,"(10, 1)",128,16,torch.bfloat16,1,True,14.639680000000062,23.21076747474743,15.811650793650852,0,0.24190654498148095,35.07827083333332,0.10930570260745015,14.41281999999997,91%,222%
4097,4,"(10, 1)",128,16,torch.bfloat16,2,True,18.68843999999997,31.07009999999996,21.286424040404107,0,0.18012678091980422,64.61960416666669,0.059624034236528185,17.25539393939382,81%,304%
4097,4,"(10, 1)",128,16,torch.bfloat16,3,True,21.52405999999995,,20.920403838383805,0,0.18372342594964994,94.41520408163268,0.041005132386614185,20.555212121212026,98%,451%
