context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
512,80,"(10, 1)",128,64,torch.bfloat16,1,False,21.862094117647082,33.92040571428571,16.887571717171696,0,0.5757493049814262,,,19.020879999999973,113%,NaN
512,80,"(10, 1)",128,64,torch.bfloat16,2,False,28.906426966292027,44.055328282828306,28.604594838709644,0,0.3464223929680976,,,26.285896907216397,92%,NaN
512,80,"(10, 1)",128,64,torch.bfloat16,3,False,36.144530120481875,,29.055740000000014,0,0.3474541246869562,,,35.07091999999986,121%,NaN
512,80,"(10, 1)",128,64,torch.bfloat16,4,False,44.35993181818194,,26.422601818181764,0,0.3891290227399116,,,109.50958333333337,414%,NaN
512,128,"(10, 1)",128,64,torch.bfloat16,1,False,32.19854945054939,60.627741414141354,22.750953191489383,0,0.6837872749963022,,,25.246459999999942,111%,NaN
512,128,"(10, 1)",128,64,torch.bfloat16,2,False,44.10352688172042,79.79329755102036,36.82159595959599,0,0.4305852339385635,,,41.93479166666673,114%,NaN
512,128,"(10, 1)",128,64,torch.bfloat16,3,False,59.64510869565219,,37.76932000000002,0,0.4276714204579497,,,56.63571428571423,150%,NaN
512,128,"(10, 1)",128,64,torch.bfloat16,4,False,73.85760439560443,,40.486606060606036,0,0.406328995159086,,,193.8628484848484,479%,NaN
4096,4,"(10, 1)",128,64,torch.bfloat16,1,False,15.549659999999996,22.09315111111107,15.307272525252461,0,0.24981658130556378,,,14.818439999999999,97%,NaN
4096,4,"(10, 1)",128,64,torch.bfloat16,2,False,18.75723999999994,28.638079999999967,22.917259999999935,0,0.1672679769360438,,,17.531219999999962,76%,NaN
4096,4,"(10, 1)",128,64,torch.bfloat16,3,False,21.604101010101,,23.24528489795914,0,0.16530823174384213,,,20.503387755102075,88%,NaN
4096,4,"(10, 1)",128,64,torch.bfloat16,4,False,24.12447999999993,,23.32492783505154,0,0.1651430690739844,,,57.67206122448976,247%,NaN
4096,80,"(10, 1)",128,64,torch.bfloat16,1,False,83.42436734693882,222.25721737373735,58.51318686868694,0,1.3070593813161648,,,55.190189473684235,94%,NaN
