,ctx_lens,batch_size,num_heads,head_size,block_size,dtype,qlen,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
11,512,128,"(5, 1)",128,16,torch.bfloat16,4,False,59.68984782608693,,26.750460000000004,0,0.5926939391043706,27.124795918367333,0.6064886905515197,184.55815999999996,690%,101%
12,4096,4,"(5, 1)",128,16,torch.bfloat16,1,False,14.302039999999993,21.061465858585812,13.78634343434345,0,0.2770389332521344,35.064387755102025,0.1090568162227428,14.161239999999985,103%,254%
13,4096,4,"(5, 1)",128,16,torch.bfloat16,2,False,18.255259999999993,26.2085,13.923532055246486,0,0.2746437093833701,33.947437500000014,0.11291938359463236,17.06483999999999,123%,244%
14,4096,4,"(5, 1)",128,16,torch.bfloat16,3,False,20.942859999999996,,14.138790515463883,0,0.2707916989120633,60.806530612244906,0.06319447770121016,20.02968,142%,430%
15,4096,4,"(5, 1)",128,16,torch.bfloat16,4,False,23.671680000000084,,17.387240000000077,0,0.22046763702101607,61.03634693877548,0.06310912041432368,57.15779797979795,329%,351%
16,4096,80,"(5, 1)",128,16,torch.bfloat16,1,False,63.00709473684214,216.88814512471657,52.30446340960624,0,1.460431339707278,39.81317021276598,1.9209776417879907,51.19351578947378,98%,76%
17,4096,80,"(5, 1)",128,16,torch.bfloat16,2,False,90.02816842105268,297.48722,54.364318367346876,0,1.406808953450611,36.90152,2.0775966502828656,98.10832000000006,180%,68%
18,4096,80,"(5, 1)",128,16,torch.bfloat16,3,False,135.46804000000003,,56.33522383838378,0,1.3592444809407445,62.39260824742271,1.23176031610193,132.04791397849468,234%,111%
19,4096,80,"(5, 1)",128,16,torch.bfloat16,4,False,168.12472164948443,,73.02229368421057,0,1.0499050423408376,62.52330927835053,1.2321645201027145,643.9188000000004,882%,86%
20,4096,128,"(5, 1)",128,16,torch.bfloat16,1,False,96.31227499999993,350.0356202020201,78.36892707070704,0,1.5595380551997113,67.06922000000006,1.824508108546317,74.92030612244896,96%,86%
21,4096,128,"(5, 1)",128,16,torch.bfloat16,2,False,137.49220833333337,480.69470936170217,81.13557918367337,0,1.5081957503114822,70.11228571428573,1.7495701031290154,151.68412121212123,187%,86%
22,4096,128,"(5, 1)",128,16,torch.bfloat16,3,False,212.08106,,83.7565958333332,0,1.462778496628636,122.41327368421057,1.0045020320985938,208.32154166666655,249%,146%
23,4096,128,"(5, 1)",128,16,torch.bfloat16,4,False,265.0120206185567,,110.2320360902255,0,1.112801353386513,122.57537894736836,1.0056049302399825,1025.467346938776,930%,111%
24,4097,4,"(5, 1)",128,16,torch.bfloat16,1,False,14.399260000000124,22.48487616161615,15.156868686868641,0,0.2520497656869224,37.06311111111113,0.10320077563049186,14.155595959595948,93%,245%
25,4097,4,"(5, 1)",128,16,torch.bfloat16,2,False,18.170479999999994,27.549299999999974,15.319240000000011,0,0.24968221752161118,35.83338775510204,0.10700230371452933,17.039259999999917,111%,234%
26,4097,4,"(5, 1)",128,16,torch.bfloat16,3,False,21.055279999999968,,15.430040000000009,0,0.24819108873462703,64.95508247422677,0.059172710110300474,20.140460000000047,131%,421%
27,4097,4,"(5, 1)",128,16,torch.bfloat16,4,False,23.642859999999924,,20.10154530612246,0,0.1907442926054098,65.0885744680851,0.05919443654544037,57.26058000000005,285%,324%
